session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Political Spectrum (US),Employment Status,First Language,Country of Birth,Student Status,Sex,Current Country of Residence,Nationality
5dd4da3a41afe84a26811718,57dd1a741334540001170404,AWAITING REVIEW,2019-11-20 06:16:28.452000,2019-11-20 06:18:34.932000,126.48,42,464,1,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4da6a19eecb4abefff826,59af1b568d02850001a6bbac,AWAITING REVIEW,2019-11-20 06:17:18.881000,2019-11-20 06:18:09.152000,50.271,44,148,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4da96e08a364a80ee8211,574eab79c18847000e071119,AWAITING REVIEW,2019-11-20 06:18:02.502000,2019-11-20 06:36:52.502000,1130.0,38,683,0,100,,4D8547F3,Conservative,Part-Time,English,United States,No,Female,United States,United States
5dd4daa39740544a71844bd5,5c19a630257db80001a2b3a8,AWAITING REVIEW,2019-11-20 06:18:13.929000,2019-11-20 06:32:56.941000,883.012,64,459,2,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4dab5794e104a949a5f0f,5c36e0c5e38bc40001f82a4d,AWAITING REVIEW,2019-11-20 06:18:38.563000,2019-11-20 06:23:24.748000,286.185,37,445,1,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4dabf57534749f4ebca59,570b8aa8b9b52b00102d97f2,AWAITING REVIEW,2019-11-20 06:19:09.648000,2019-11-20 06:24:55.257000,345.609,67,880,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Female,United States,United States
5dd4dacd2091e94ae11421c6,5d84398b58ceda0019482646,AWAITING REVIEW,2019-11-20 06:18:53.878000,2019-11-20 06:21:16.219000,142.341,36,114,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4daec1042004ad173909c,5d4686c336bf400015d3fd14,AWAITING REVIEW,2019-11-20 06:19:32.071000,2019-11-20 06:24:24.468000,292.397,29,178,1,100,,4D8547F3,Conservative,Part-Time,English,United States,No,Female,United States,United States
5dd4db08c925a84a514be842,5befb6e27c387400016983bf,AWAITING REVIEW,2019-11-20 06:19:52.575000,2019-11-20 06:24:15.322000,262.747,33,320,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4db314d58a04b8707e0d3,5b8b14d65548a50001e5f7f3,AWAITING REVIEW,2019-11-20 06:23:52.462000,2019-11-20 06:27:48.741000,236.279,35,403,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4db649dac7c4a9f70ddfb,5cecb84b41b4310018eb2644,AWAITING REVIEW,2019-11-20 06:21:33.358000,2019-11-20 06:33:36.485000,723.127,19,196,0,100,,4D8547F3,Conservative,Unemployed (and job seeking),English,United States,No,Male,United States,United States
5dd4db68523df04a5dbcbcae,5d8c3c1e118a2300150b87e9,AWAITING REVIEW,2019-11-20 06:21:30.695000,2019-11-20 06:25:31.536000,240.841,18,45,0,100,,4D8547F3,Conservative,Unemployed (and job seeking),English,United States,Yes,Male,United States,United States
5dd4db6b7982974a7980a15b,5aedec6e76b763000132f75e,AWAITING REVIEW,2019-11-20 06:21:36.521000,2019-11-20 06:23:48.037000,131.516,36,711,3,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4db77f01cbe49c312c31c,5c800507a1d4b900114f28c4,AWAITING REVIEW,2019-11-20 06:21:43.326000,2019-11-20 06:24:17.612000,154.286,28,410,2,100,,4D8547F3,Conservative,Unemployed (and job seeking),English,United States,No,Male,United States,United States
5dd4db84ad0a614a377758ea,5dc36aef70d51c272b81f072,AWAITING REVIEW,2019-11-20 06:22:03.018000,2019-11-20 06:25:05.819000,182.801,31,14,2,92,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,,United States
5dd4db8b070fdc4a7deefa73,5d5defd586ed58000184fe02,AWAITING REVIEW,2019-11-20 06:22:05.362000,2019-11-20 06:24:32.183000,146.821,24,6,0,100,,4D8547F3,Conservative,Part-Time,English,United States,No,Male,United States,United States
5dd4dba5a9ead04b2f1cbc6c,58c376f9efb64f0001358464,AWAITING REVIEW,2019-11-20 06:22:32.532000,2019-11-20 06:27:13.821000,281.289,46,620,10,97,,4D8547F3,Conservative,Full-Time,English,United States,Yes,Female,United States,United States
5dd4dba9f01cbe4967dc2632,5d563cb2e1e744001613275b,AWAITING REVIEW,2019-11-20 06:22:35.968000,2019-11-20 06:27:16.811000,280.843,26,79,2,99,,4D8547F3,Conservative,Full-Time,English,United States,Yes,Male,United States,United States
5dd4dbb649f6074adf3ec0fe,5dc59df162ec5041c3e8807a,AWAITING REVIEW,2019-11-20 06:22:50.673000,2019-11-20 06:30:57.184000,486.511,29,39,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,,United States
