session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Nationality,Employment Status,First Language,Country of Birth,Sex,Political Spectrum (US),Current Country of Residence,Student Status
5dd4e258e25acf4a9c70ee5c,5d13eb3feed3200019004458,AWAITING REVIEW,2019-11-20 06:51:33.554000,2019-11-20 06:55:12.608000,219.054,31,176,2,99,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Conservative,United States,No
5dd4e4033c49374b9889d91e,5cb882d33f0af9000159e00f,AWAITING REVIEW,2019-11-20 06:58:20.848000,2019-11-20 07:05:03.682000,402.834,57,247,1,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd4e456670d1a4a9deb3d54,5c0cb39d4bc2690001b63c09,AWAITING REVIEW,2019-11-20 06:59:34.208000,2019-11-20 07:00:14.883000,40.675,24,101,4,96,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e4774fee994a559ebd27,5c7cf8b58ca9000001b52f6e,AWAITING REVIEW,2019-11-20 07:06:11.658000,2019-11-20 07:13:19.244000,427.586,28,255,0,100,,4D8547F3,United States,Unemployed (and job seeking),English,United States,Male,Conservative,United States,No
5dd4e58cd2c3e0499488e4b8,5d6d73808961b000011473ba,AWAITING REVIEW,2019-11-20 07:10:30.078000,2019-11-20 07:23:51.313000,801.235,37,191,2,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e6b5f85b504b353325f0,5bad0eecf91cc300010cc978,AWAITING REVIEW,2019-11-20 07:09:41.336000,2019-11-20 07:15:39.925000,358.589,49,36,1,99,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e7066d52254aeaa4f998,5d5a87cdb8d49300195674d6,AWAITING REVIEW,2019-11-20 07:11:06.234000,2019-11-20 07:16:58.872000,352.638,23,38,0,100,,4D8547F3,United States,Due to start a new job within the next month,English,United States,Female,Conservative,Italy,Yes
5dd4e72f4b0e0c4a86390e81,5d6fd81dba96c60001bc2592,AWAITING REVIEW,2019-11-20 07:11:47.292000,2019-11-20 07:23:03.096000,675.804,26,152,2,99,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e794c128844af110ba6f,5ac440da9534ba0001c736da,AWAITING REVIEW,2019-11-20 07:13:23.990000,2019-11-20 07:16:39.336000,195.346,38,399,1,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e7efe0b21b4ba6ec516e,5bef695d6e213a000137c6ea,AWAITING REVIEW,2019-11-20 07:15:01.078000,2019-11-20 07:19:18.351000,257.273,36,458,0,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
