session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,Student Status,Employment Status,Country of Birth,First Language,Political Spectrum (US),Nationality,Current Country of Residence
5dd4db688ed6bf4a1f5a21c4,5d923c2e235f4b0017f269c2,AWAITING REVIEW,2019-11-20 06:21:33.812000,2019-11-20 06:27:37.741000,363.929,35,75,1,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4db6983e3094a657d5b5b,5b0763afa84dcf0001bef586,AWAITING REVIEW,2019-11-20 06:21:34.826000,2019-11-20 06:31:16.604000,581.778,30,560,0,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4db6e954d194a2c897a61,5a8e310b17ef35000170e0a8,AWAITING REVIEW,2019-11-20 06:21:37.313000,2019-11-20 06:24:33.619000,176.306,23,85,0,100,,4D8547F3,Female,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4db7082569a4a45aa5be1,5b7ca5e38a78ff000189cf02,AWAITING REVIEW,2019-11-20 06:21:41.551000,2019-11-20 06:35:17.758000,816.207,28,425,0,100,,4D8547F3,Female,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4db71954d194a2c897a62,5c02a041c776820001bd6b41,AWAITING REVIEW,2019-11-20 06:21:39.465000,2019-11-20 06:23:40.715000,121.25,40,285,0,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4db7696afdf4a5cb9331c,5c6ef060f9ff2700016f0f6c,AWAITING REVIEW,2019-11-20 06:21:45.954000,2019-11-20 06:22:36.211000,50.257,39,354,0,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4db7b3708104a4b7b72b1,5dbf466c3e8c0f3ef727b197,AWAITING REVIEW,2019-11-20 06:22:05.441000,2019-11-20 06:23:16.677000,71.236,29,36,0,100,,4D8547F3,Female,Yes,Part-Time,United States,English,Liberal,United States,United States
5dd4db82670d1a4990deb133,5d5f97d18d3cd600171a294c,AWAITING REVIEW,2019-11-20 06:21:54.438000,2019-11-20 06:30:39.625000,525.187,18,96,1,100,,4D8547F3,Male,Yes,DATA EXPIRED,United States,English,Liberal,United States,United States
5dd4db887cc9734a7a9b9699,5d4702f04f947a0001181420,AWAITING REVIEW,2019-11-20 06:22:00.232000,2019-11-20 06:25:10.789000,190.557,22,170,1,100,,4D8547F3,Male,No,Part-Time,United States,English,Liberal,United States,United States
5dd4db8b8ed6bf4a7628b037,5d63ff3c8979c6001bb4891b,AWAITING REVIEW,2019-11-20 06:22:04.401000,2019-11-20 06:27:41.528000,337.127,21,67,0,100,,4D8547F3,Female,Yes,Part-Time,United States,English,Liberal,United States,United States
5dd4db9382569a4a9777bebc,58911e3417b2000001146c7d,AWAITING REVIEW,2019-11-20 06:22:14.309000,2019-11-20 06:26:16.755000,242.446,31,375,1,100,,4D8547F3,Male,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
