session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Student Status,Sex,Country of Birth,Nationality,First Language,Political Spectrum (US),Employment Status,Current Country of Residence
5dd4da897aa0d64a73b8c997,5ad7835e9c198c0001fad31a,AWAITING REVIEW,2019-11-20 06:18:51.313000,2019-11-20 06:20:09.549000,78.236,31,596,1,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4da8d9c84d84b0d4e3023,5d071776ffd6f0000150a767,AWAITING REVIEW,2019-11-20 06:17:52.354000,2019-11-20 06:22:08.014000,255.66,18,80,0,100,,4D8547F3,Yes,Female,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4da8e961cb34b4073e68c,5c814d8fde75d40016027a59,AWAITING REVIEW,2019-11-20 06:17:50.809000,2019-11-20 06:23:28.376000,337.567,34,195,1,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Part-Time,United States
5dd4da901228d94a92679838,5badcd276322c5000157c196,AWAITING REVIEW,2019-11-20 06:17:52.154000,2019-11-20 06:21:06.506000,194.352,23,277,3,99,,4D8547F3,No,Female,United States,United States,English,Liberal,Full-Time,United States
5dd4da9951c6d24b179692ac,5c3413aa64829800018b164a,AWAITING REVIEW,2019-11-20 06:18:01.964000,2019-11-20 06:20:18.356000,136.392,20,115,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4da9b80123f4ab0a06153,5ab6cbbbf69e940001d8e446,AWAITING REVIEW,2019-11-20 06:18:03.097000,2019-11-20 06:20:29.573000,146.476,54,529,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Full-Time,United States
5dd4daa57af6614b14fe9f33,5dd2ff9a11b0bd30de114289,AWAITING REVIEW,2019-11-20 06:18:16.692000,2019-11-20 06:24:55.067000,398.375,22,16,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Part-Time,United States
5dd4daa5b2204f49ea77f398,59e834ba5de9b000017ed337,AWAITING REVIEW,2019-11-20 06:18:16.154000,2019-11-20 06:22:15.767000,239.613,27,582,1,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dd4daad946f7c4a30cd149d,5dc4a2b41992dc36c9a858f8,AWAITING REVIEW,2019-11-20 06:18:21.533000,2019-11-20 06:23:04.963000,283.43,27,24,0,100,,4D8547F3,No,Male,United States,United States,Spanish,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",
5dd4dad2070fdc4a7deefa72,5b564680ed90280001510d9a,AWAITING REVIEW,2019-11-20 06:24:34.886000,2019-11-20 06:29:51.322000,316.436,33,310,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Part-Time,United States
5dd4dad3e73e6149bf417510,5a8891155292b800012316a8,AWAITING REVIEW,2019-11-20 06:18:59.146000,2019-11-20 06:21:49.272000,170.126,23,499,0,100,,4D8547F3,Yes,Female,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4daddca74664b4b75ad06,5c5d16ab6ad0f00001cc0ca2,AWAITING REVIEW,2019-11-20 06:19:18.309000,2019-11-20 06:22:14.482000,176.173,51,191,1,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Part-Time,Australia
5dd4daf1eb39734a38ba0e23,5c2c62542c45d400014a32e6,AWAITING REVIEW,2019-11-20 06:19:31.392000,2019-11-20 06:22:34.464000,183.072,25,308,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Part-Time,United States
5dd4daf135cf744a18a9a05b,5c761e74b80b460016bd0bd9,AWAITING REVIEW,2019-11-20 06:19:32.041000,2019-11-20 06:20:28.019000,55.978,19,139,0,100,,4D8547F3,Yes,Female,United States,United States,English,Liberal,Part-Time,United States
5dd4db143dffb44a38741208,5b65f528055d9e00011d53f5,AWAITING REVIEW,2019-11-20 06:20:05.722000,2019-11-20 06:23:52.849000,227.127,25,383,0,100,,4D8547F3,Yes,Male,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dd4db18c5fa304a7de404e4,5655ebb8d970d100118327ab,AWAITING REVIEW,2019-11-20 06:20:12.182000,2019-11-20 06:23:22.404000,190.222,33,554,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dd4db1e41fb3f49e341e473,5c024be169406e00014e0b8e,AWAITING REVIEW,2019-11-20 06:20:42.498000,2019-11-20 06:24:56.041000,253.543,25,424,0,100,,4D8547F3,Yes,Male,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4db21eb39734a38ba0e24,5b274df334ffd00001b46813,AWAITING REVIEW,2019-11-20 06:20:24.993000,2019-11-20 06:24:06.691000,221.698,27,63,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dd4db2a59b1b04a4f6ecac1,5d1d6bc2f4f472001a36fc1c,AWAITING REVIEW,2019-11-20 06:20:38.954000,2019-11-20 06:21:58.537000,79.583,27,158,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Part-Time,United States
5dd4db2a848b0f4a214cfc8c,5c43f80d8bb6fd000163fad1,AWAITING REVIEW,2019-11-20 06:20:33.443000,2019-11-20 06:23:12.502000,159.059,61,103,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dd4db2ae0b21b4b3d3bd0fc,5b7392e0924a8800013e8482,AWAITING REVIEW,2019-11-20 06:20:31.158000,2019-11-20 06:26:31.729000,360.571,24,77,1,99,,4D8547F3,Yes,Female,Greece,United States,Greek,Liberal,Other,Netherlands
