session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Political Spectrum (US),Current Country of Residence,First Language,Country of Birth,Nationality,Student Status,Employment Status,Sex
5dde0f76355822d7445ea233,59349d79f1b3f00001964d04,APPROVED,2019-11-27 05:53:58.223000,2019-11-27 06:08:32.221000,873.998,61,325,0,100,2019-11-27 06:54:46.872000,4D8547F3,Liberal,United States,English,United States,United States,No,Unemployed (and job seeking),Female
5dde0f779d9e30d6cf3e7d39,5c78d785da78bc0001257542,APPROVED,2019-11-27 05:54:02.233000,2019-11-27 05:55:18.065000,75.832,25,281,1,100,2019-11-27 06:54:47.588000,4D8547F3,Liberal,United States,English,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female
5dde0f773c4937d87d7c0cbb,5d1c77a9a7f7ce0001dec9aa,APPROVED,2019-11-27 05:54:03.575000,2019-11-27 05:56:36.765000,153.19,19,100,0,100,2019-11-27 06:54:47.200000,4D8547F3,Liberal,United States,English,United States,United States,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",Male
5dde0f807b6a66d7ef85a975,5d179f82aa676d001a898f11,APPROVED,2019-11-27 05:54:11.880000,2019-11-27 05:55:21.983000,70.103,19,33,0,100,2019-11-27 06:54:47.750000,4D8547F3,Liberal,United States,English,United States,United States,Yes,Other,Female
5dde0f87104200d720d32804,5c6c6d2a61fc7d0001459508,APPROVED,2019-11-27 05:54:15.667000,2019-11-27 06:03:38.365000,562.698,31,274,3,99,2019-11-27 06:54:48.124000,4D8547F3,Liberal,Germany,English,United States,United States,Yes,Part-Time,Male
5dde0f8be08a36d6dc88813f,58cc6e1293dac30001d4abc6,APPROVED,2019-11-27 05:54:29.199000,2019-11-27 05:55:10.704000,41.505,49,863,1,100,2019-11-27 06:54:48.482000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0f8df290e7d7000ffa15,5da73f96df2e2b0014217945,APPROVED,2019-11-27 05:54:23.852000,2019-11-27 06:06:08.312000,704.46,60,73,1,99,2019-11-27 06:54:48.655000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0f902c5c10d785c31797,5d380f57a236740015d13f92,APPROVED,2019-11-27 05:54:28.960000,2019-11-27 05:56:39.073000,130.113,22,115,0,100,2019-11-27 06:54:49.066000,4D8547F3,Liberal,United States,English,United States,United States,No,Unemployed (and job seeking),Female
5dde0f92dba634d860d5b3f1,59cc6c0246f7210001906b71,APPROVED,2019-11-27 05:54:26.193000,2019-11-27 06:03:37.363000,551.17,62,214,0,100,2019-11-27 06:54:49.379000,4D8547F3,Liberal,United States,Swedish,Sweden,United States,No,Part-Time,Male
5dde0f939c84d8d875c123ed,580d5d1f357e890001dd14ce,APPROVED,2019-11-27 05:54:27.558000,2019-11-27 05:56:12.636000,105.078,36,825,4,100,2019-11-27 06:54:49.727000,4D8547F3,Liberal,United States,English,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Male
